"income","age","education","petition_signed"
3,57,5,1
3,65,5,0
6,48,3,0
11,68,7,0
1,44,3,0
3,68,2,0
10,57,6,0
1,70,2,0
4,83,1,0
1,24,3,0
4,40,3,0
9,67,7,0
2,50,5,0
7,61,3,1
1,73,3,0
4,77,6,0
6,82,3,0
10,66,6,1
9,59,6,0
6,89,7,0
10,54,3,1
8,53,6,1
3,77,3,0
5,52,5,0
3,65,5,0
4,89,7,0
5,58,6,0
2,86,5,0
3,57,3,0
4,75,3,0
3,43,3,0
7,49,7,1
4,57,3,0
9,67,7,0
6,57,7,0
3,83,5,0
2,18,2,0
9,25,3,0
2,86,5,0
3,79,2,0
2,79,1,0
12,18,2,1
2,87,3,0
1,35,2,0
8,60,7,1
4,27,5,0
2,62,3,0
2,18,2,0
7,18,3,1
6,72,3,0
2,61,3,0
1,81,3,0
2,65,5,0
11,49,7,1
7,40,5,1
10,58,7,1
2,51,3,0
2,73,1,0
4,76,5,1
8,63,5,0
8,25,5,0
3,85,3,0
3,51,7,1
2,63,5,0
8,45,3,0
8,56,7,0
4,66,3,0
2,35,5,0
2,52,3,0
5,66,3,0
9,45,6,0
3,26,2,0
5,86,6,0
3,64,5,0
1,55,3,0
2,42,2,0
5,57,3,0
9,77,6,0
2,60,3,0
9,64,7,0
6,75,4,0
11,40,7,1
2,55,2,0
2,26,3,0
2,91,5,0
10,39,7,0
2,88,1,0
2,35,7,1
10,31,7,0
9,81,5,0
2,76,5,0
9,35,7,0
4,26,5,0
2,56,2,0
7,80,5,0
7,44,5,1
4,85,3,0
7,67,6,0
2,68,3,0
3,25,5,0
2,73,2,0
2,18,3,1
4,44,6,1
8,44,3,0
1,36,5,0
2,89,3,0
4,78,6,0
2,59,5,0
1,57,5,0
2,81,3,0
2,30,3,0
1,66,1,0
6,42,6,0
1,48,3,0
9,75,3,0
4,85,4,0
4,76,6,1
1,58,6,0
2,60,3,0
5,49,5,0
1,69,3,0
4,69,3,0
4,42,2,0
1,60,6,0
1,85,5,0
9,49,3,1
9,61,7,0
1,72,3,0
8,65,6,0
3,75,4,0
3,23,5,0
7,27,6,1
3,62,7,1
6,35,5,0
1,54,3,0
3,67,7,1
5,28,7,1
5,66,6,0
2,63,4,0
1,89,1,0
2,90,3,0
5,46,5,0
8,44,6,1
3,59,5,1
10,49,6,0
6,80,7,0
6,85,3,0
3,54,3,0
9,71,7,0
4,68,7,0
2,41,3,0
1,77,2,0
4,61,6,0
3,57,2,0
3,34,3,0
4,66,2,0
2,85,5,0
9,68,7,0
1,29,6,1
7,68,7,1
8,40,6,0
9,51,7,0
9,64,3,0
5,70,5,0
6,60,7,0
5,51,3,0
4,63,3,0
7,68,6,0
5,56,3,1
8,64,3,0
6,56,3,0
7,59,6,0
5,34,2,1
7,72,6,0
2,46,1,0
7,65,5,0
8,65,6,0
2,79,1,0
4,62,5,0
5,36,5,0
3,62,3,0
2,79,2,0
1,59,3,0
8,46,6,1
2,52,1,0
3,39,6,0
4,28,6,0
4,59,3,0
4,72,5,0
10,37,7,0
12,19,5,1
5,65,7,0
6,65,5,0
5,72,5,0
2,23,3,0
4,56,5,0
2,18,3,0
1,44,7,0
3,53,6,0
2,70,3,0
10,59,7,0
9,69,5,1
5,31,5,0
5,77,3,0
1,60,6,0
2,55,5,1
4,70,6,0
6,54,5,1
9,53,6,0
2,32,5,0
2,44,4,0
3,25,3,0
4,61,7,0
5,64,3,0
9,35,5,0
7,53,6,0
2,70,5,0
2,65,6,0
9,37,6,0
6,61,3,0
2,68,5,0
10,64,5,0
1,62,3,0
4,36,5,0
7,35,6,0
5,64,3,0
7,58,3,0
3,82,6,0
6,63,3,0
3,81,3,0
7,47,5,1
8,38,5,1
2,81,3,0
4,65,7,1
10,42,7,1
4,32,3,0
9,47,6,0
8,83,3,0
7,47,5,0
7,78,4,0
4,67,5,0
5,72,3,0
3,54,2,0
9,58,6,1
4,80,4,0
9,69,3,0
3,90,3,0
5,50,5,0
9,44,7,1
6,37,6,0
3,70,5,0
5,32,7,1
1,25,5,0
3,60,4,0
8,70,7,0
2,70,3,0
3,22,6,0
7,74,5,0
8,60,7,1
6,30,5,0
8,34,6,0
6,60,3,0
3,68,3,0
9,18,5,1
9,52,5,0
3,72,7,0
4,93,3,0
2,22,2,0
2,18,3,0
4,33,5,0
3,86,5,0
9,58,7,1
9,41,7,0
6,36,7,0
3,68,5,1
10,40,7,0
7,44,7,0
7,64,5,0
4,54,2,0
9,47,7,1
9,50,6,0
10,43,5,0
6,40,3,0
4,52,1,0
5,74,5,0
2,29,1,0
8,41,3,0
5,69,5,0
4,63,5,0
5,60,7,0
10,65,6,0
2,60,3,0
2,48,3,0
8,63,6,1
11,22,5,0
3,62,5,0
2,31,2,0
6,88,3,1
9,45,6,1
1,77,2,0
8,55,7,1
3,22,6,0
4,25,6,0
5,56,7,1
9,61,4,0
3,79,3,0
3,62,2,0
4,32,6,1
8,59,6,0
9,53,7,0
3,86,7,0
5,72,6,0
3,50,3,0
4,60,3,1
7,65,5,0
2,75,2,0
3,40,2,0
9,54,5,1
6,65,7,0
3,37,5,0
4,62,7,0
3,32,6,0
9,42,7,0
5,25,7,0
1,43,5,0
8,25,6,1
9,50,5,0
9,50,6,1
10,50,7,0
3,78,5,0
8,42,6,0
2,66,2,0
4,38,5,1
1,77,5,1
2,74,3,0
2,20,5,1
4,48,5,0
10,50,6,0
6,49,6,0
10,46,7,0
2,61,3,0
6,61,6,0
7,55,3,0
11,60,6,1
9,52,6,0
10,49,6,0
5,62,4,0
5,49,5,1
8,62,6,1
9,66,5,1
8,64,7,0
4,51,3,0
1,64,3,0
8,75,6,0
6,70,5,0
5,70,5,0
3,72,3,0
7,54,5,0
8,45,6,0
3,85,3,0
7,39,6,0
1,66,7,1
9,31,7,1
7,68,3,0
9,48,7,0
5,47,3,0
1,49,2,0
9,36,7,0
2,76,2,0
9,50,7,1
5,73,3,0
2,70,2,0
1,63,3,0
8,43,7,0
3,61,3,0
9,68,7,0
1,92,2,0
3,66,6,0
7,73,6,0
6,54,2,0
2,69,3,1
7,55,3,0
9,62,6,0
9,40,6,0
1,25,2,0
9,58,6,0
12,55,7,1
3,74,3,0
3,33,5,0
9,34,5,0
6,70,5,0
4,78,3,0
6,38,4,0
4,59,6,0
6,19,2,0
2,27,6,0
9,59,4,0
5,18,3,0
2,73,3,0
5,61,6,0
8,70,5,0
8,33,5,0
6,45,3,0
3,30,6,0
10,65,5,1
7,18,3,0
3,43,4,1
1,69,2,0
3,30,5,0
5,46,6,0
6,67,5,1
10,42,6,0
2,58,2,0
3,56,3,0
4,56,4,0
6,46,3,0
3,37,3,0
5,49,5,0
7,21,5,0
6,48,6,0
5,56,5,0
10,34,5,0
11,61,5,0
8,46,5,0
5,36,7,1
6,40,5,0
8,34,7,0
4,23,6,1
7,56,6,0
4,76,3,0
2,80,5,0
4,26,3,0
1,75,3,0
2,39,3,1
7,55,3,0
6,90,4,0
5,58,4,0
6,45,3,0
4,76,6,0
3,70,3,0
2,55,5,0
4,75,5,0
1,76,3,0
2,73,3,0
5,65,7,0
6,61,6,0
2,69,4,0
1,54,5,1
2,55,3,0
3,59,1,0
5,73,6,0
9,54,7,0
3,80,3,0
5,74,3,0
6,46,3,0
2,73,3,0
3,72,6,0
5,92,6,0
8,61,3,0
12,61,7,1
2,21,5,0
5,51,1,0
5,61,7,0
8,36,6,0
2,61,5,0
3,79,6,0
5,62,5,0
6,57,5,0
9,53,6,0
3,36,5,0
7,59,6,0
5,41,7,0
5,59,7,0
2,70,3,0
8,67,6,0
2,39,5,0
9,35,3,0
2,54,3,0
1,22,3,0
6,19,3,1
9,23,5,0
8,64,6,0
6,69,3,0
6,76,5,0
7,43,7,1
1,33,2,0
7,35,7,0
10,57,6,0
3,79,3,0
8,40,5,1
6,60,3,0
6,60,7,0
1,63,3,0
4,51,5,0
8,73,6,0
1,44,2,0
2,95,3,0
4,55,5,0
5,67,7,1
2,88,2,0
3,52,3,0
7,47,6,0
2,68,3,0
7,18,3,0
8,75,7,0
3,65,5,0
4,27,7,0
7,41,6,0
3,65,3,0
2,25,4,0
10,36,6,0
2,32,2,0
5,49,3,0
10,65,5,0
3,31,4,0
11,18,3,0
2,18,5,1
2,55,3,0
7,55,3,0
7,67,7,1
8,61,7,0
9,26,5,0
5,61,5,0
5,20,3,0
3,69,4,0
7,66,7,0
4,58,3,0
3,76,5,0
6,35,4,0
1,55,3,0
2,73,6,0
2,64,2,0
7,43,5,0
6,73,3,0
6,55,3,0
5,60,7,1
7,57,3,0
2,48,3,0
2,86,4,0
1,56,6,0
10,55,7,1
9,50,6,0
1,77,1,0
3,64,5,0
5,84,5,0
7,41,5,0
10,66,6,0
10,46,6,0
7,50,7,0
9,65,6,0
9,65,5,0
7,39,5,0
1,40,5,0
4,58,6,0
10,70,6,0
6,52,3,1
6,22,5,0
2,51,1,0
4,31,5,1
5,49,3,0
7,75,3,0
3,76,3,0
7,58,3,0
8,48,3,0
5,93,6,0
4,83,3,0
4,38,6,0
3,43,5,0
9,56,6,1
2,59,3,0
2,73,2,0
11,59,5,0
1,52,4,0
2,67,3,0
1,54,3,0
4,44,1,0
9,68,5,0
4,62,5,0
9,67,6,1
9,19,5,0
7,41,3,0
1,77,3,0
7,48,5,0
8,36,6,1
8,59,5,0
3,63,3,0
9,35,5,0
2,28,5,0
6,83,6,0
10,40,7,0
8,57,6,0
1,78,3,0
9,60,5,0
3,30,3,0
3,56,5,0
2,72,3,0
5,59,7,0
6,36,5,0
4,26,3,1
2,74,2,1
1,48,1,0
3,49,2,0
1,58,3,0
9,68,7,0
4,81,5,0
2,48,3,0
4,48,5,0
6,54,6,1
2,19,1,0
1,57,4,0
8,52,3,0
7,36,6,0
1,21,5,0
9,47,6,0
7,50,5,0
1,76,1,0
1,74,1,0
9,50,6,0
2,78,3,0
1,54,5,1
5,64,6,0
7,73,5,0
4,66,3,0
1,59,2,0
2,62,2,0
3,61,3,0
7,63,6,1
8,48,6,0
5,76,5,1
2,76,3,0
8,46,5,0
5,57,3,0
8,59,7,1
7,41,6,1
10,59,7,1
2,58,3,0
11,73,7,0
6,80,3,0
5,57,3,0
9,62,7,0
2,50,3,1
3,86,6,0
9,53,6,0
8,64,7,1
4,19,3,0
7,70,3,0
3,88,3,0
3,68,3,0
