"income","age","education","petition_signed","g"
3,57,5,1,0.138185249018605
3,65,5,0,0.124710997347713
6,48,3,0,0.0964356534324009
11,68,7,0,0.363344300098365
1,44,3,0,0.0701816737737191
3,68,2,0,0.0404020807501318
10,57,6,0,0.29501096449929
1,70,2,0,0.033590161497355
4,83,1,0,0.0241367326446914
1,24,3,0,0.0920692392166667
4,40,3,0,0.0926620752023797
9,67,7,0,0.329972676102464
2,50,5,0,0.140856281839868
7,61,3,1,0.0872007675322992
1,73,3,0,0.0468844348805179
4,77,6,0,0.160700230377489
6,82,3,0,0.0606859050838358
10,66,6,1,0.268147188817874
9,59,6,0,0.27253589531099
6,89,7,0,0.218163261265383
10,54,3,1,0.119028188209604
8,53,6,1,0.274022457594985
3,77,3,0,0.0517148080058744
5,52,5,0,0.16876122591215
3,65,5,0,0.124710997347713
4,89,7,0,0.19176278250763
5,58,6,0,0.215612714575994
2,86,5,0,0.0878887053395979
3,57,3,0,0.068265947186462
4,75,3,0,0.0574168387920933
3,43,3,0,0.0826447108357826
7,49,7,1,0.353256444749495
4,57,3,0,0.0736083082078891
9,67,7,0,0.329972676102464
6,57,7,0,0.309178514450009
3,83,5,0,0.0984734631295539
2,18,2,0,0.0751223551979606
9,25,3,0,0.160486330205951
2,86,5,0,0.0878887053395979
3,79,2,0,0.0345550893174237
2,79,1,0,0.0218229842275461
12,18,2,1,0.154521166397771
2,87,3,0,0.0415808438390687
1,35,2,0,0.0550638496708492
8,60,7,1,0.334910208755789
4,27,5,0,0.213083859530833
2,62,3,0,0.0590474045837826
2,18,2,0,0.0751223551979606
7,18,3,1,0.152715209156421
6,72,3,0,0.069667957111798
2,61,3,0,0.0598730498833437
1,81,3,0,0.0418801732141049
2,65,5,0,0.116124615060925
11,49,7,1,0.43036377810424
7,40,5,1,0.221823191564092
10,58,7,1,0.378872209438332
2,51,3,0,0.0687435969919678
2,73,1,0,0.0237962229774942
4,76,5,1,0.116103382529645
8,63,5,0,0.180414462803221
8,25,5,0,0.278378326739493
3,85,3,0,0.0462199732365524
3,51,7,1,0.277144250466952
2,63,5,0,0.119189827221206
8,45,3,0,0.115987796436261
8,56,7,0,0.348190036647079
4,66,3,0,0.0650453757261866
2,35,5,0,0.169843044286253
2,52,3,0,0.0678044497980017
5,66,3,0,0.0701546780161338
9,45,6,0,0.315376479225686
3,26,2,0,0.0725908435538485
5,86,6,0,0.153838907812068
3,64,5,0,0.126331529352486
1,55,3,0,0.0602957757016083
2,42,2,0,0.0539175857529409
5,57,3,0,0.0793331541133574
9,77,6,0,0.223125986078214
2,60,3,0,0.0607094951168089
9,64,7,0,0.339837730713301
6,75,4,0,0.0958252269822608
11,40,7,1,0.463193337229462
2,55,2,0,0.0449247358560503
2,26,3,0,0.0964717129708434
2,91,5,0,0.0821483205811274
10,39,7,0,0.446746041914269
2,88,1,0,0.0191596995530779
2,35,7,1,0.309266895744661
10,31,7,0,0.476089020233131
9,81,5,0,0.154701525822932
2,76,5,0,0.100466376097889
9,35,7,0,0.441304618941701
4,26,5,0,0.215569916020633
2,56,2,0,0.0442955143706481
7,80,5,0,0.136387664965925
7,44,5,1,0.211796886354495
4,85,3,0,0.0499295125527268
7,67,6,0,0.220612862355603
2,68,3,0,0.0543136900219132
